Distance,Angle
1.29,115
1.505,109
1.67,108
1.88,105
2.07,100
2.28,95
2.47,92
2.58,90
2.80,88
2.97,86
3.19,83.5
3.38,81.5
3.48,81
3.70,80
3.89,79.5
4.10,79
4.31,79
4.4,78.5
4.6,78
4.8,77.5
5.03,76.7
5.47,76
